citation,author,title,year
133,Richard S. Sutton,Gain adaptation beats least squares,1992
132,Richard S. Sutton,Off-policy actor-critic,2012
132,Richard S. Sutton,Reinforcement Learning of Local Shape in the Game of Go.,2007
129,Richard S. Sutton,Intra-Option Learning about Temporally Abstract Actions.,1998
129,Richard S. Sutton,Introduction to reinforcement learning. Vol. 135,1998
125,Richard S. Sutton,GQ(λ): A general gradient algorithm for temporal-difference prediction learning with eligibility traces,2010
121,Richard S. Sutton,Incremental natural actor-critic algorithms,2008
112,Richard S. Sutton,"Reinforcement learning, a Bradford book",1998
110,Richard S. Sutton,A Convergent ,2009
108,Richard S. Sutton, Temporal-difference Algorithm for Off-policy Learning with Linear Function Approximation,1998
107,Richard S. Sutton,"Between MDPs and Semi-MDPs: Learning, planning, and representing knowledge at multiple temporal scales",2012
105,Richard S. Sutton,Dyna-style planning with linear function approximation and prioritized sweeping,1997
104,Richard S. Sutton,Roles of macro-actions in accelerating reinforcement learning,1992
104,Richard S. Sutton,Introduction: The challenge of reinforcement learning,1990
102,Richard S. Sutton,Sequential decision problems and neural networks,2008
100,Richard S. Sutton,Sample-based learning and search with permanent and transient memories,2008
95,Richard S. Sutton,Stimulus representation and the timing of reward-prediction errors in models of the dopamine system,2012
94,Richard S. Sutton,Model-free reinforcement learning with continuous action in practice,2011
94,Richard S. Sutton,Online human training of a myoelectric prosthesis controller via actor-critic reinforcement learning,1990
93,Richard S. Sutton,"First results with Dyna, an integrated architecture for learning, planning and reacting",1992
93,Richard S. Sutton,A Special Issue of Machine Learning on Reinforcement Learning,1986
92,Richard S. Sutton,"Simulation of the classically conditioned nictitating membrane response by a neuron-like adaptive element: Response topography, neuronal firing, and interstimulus intervals",2011
87,Richard S. Sutton,Gradient temporal-difference learning algorithms,2012
86,Richard S. Sutton,Temporal-difference search in computer Go,2005
86,Richard S. Sutton,Temporal-difference networks,2005
86,Richard S. Sutton,Reinforcement Learning: An Introduction. A Bradford Book,2000
84,Richard S. Sutton,The normal response to prolonged passive head up tilt testing,2014
84,Richard S. Sutton,Multi-timescale nexting in a reinforcement learning robot,1996
84,Richard S. Sutton,Tilt table testing for assessing syncope. ACC expert consensus document,1996
84,Richard S. Sutton,"Model-based reinforcement learning with an approximate, learned model",1981
79,Richard S. Sutton,An adaptive network that constructs and uses and internal model of its world,2016
75,Richard S. Sutton,An emphatic approach to the problem of off-policy temporal-difference learning,2014
75,Richard S. Sutton,Benefit of pacemaker therapy in patients with presumed neurally mediated syncope and documented asystole is greater when tilt test is negative: an analysis from the third …,1999
72,Richard S. Sutton,Panel consensus: Putting it together: a new treatment algorithm for vasovagal syncope and related disorders,2006
68,Richard S. Sutton,Incremental least-squares temporal difference learning,2014
68,Richard S. Sutton,True online TD(λ),1985
67,Richard S. Sutton,The learning of world models by connectionist networks,1999
65,Richard S. Sutton,Open theoretical questions in reinforcement learning,2007
63,Richard S. Sutton,On the role of tracking in stationary environments,1991
61,Richard S. Sutton,Integrated modeling and control based on reinforcement learning and dynamic programming,1998
61,Richard S. Sutton,Macro-actions in reinforcement learning: An empirical analysis,1991
60,Richard S. Sutton,A randomized trial of medical therapy in malignant vasovagal syndrome or neurally-mediated bradycardia/hypotension syndrome,1982
59,Richard S. Sutton,Synthesis of nonlinear control surfaces by a layered associative search network,2012
59,Richard S. Sutton,Evaluating the TD model of classical conditioning,1994
55,Richard S. Sutton,On step-size and bias in temporal-difference learning,2001
53,Richard S. Sutton,Keepaway soccer: A machine learning test bed,2000
52,Richard S. Sutton,Reinforcement learning for 3 vs. 2 keepaway,1999
17337,PABLO TAMAYO,Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles,2005
13072,PABLO TAMAYO,Molecular classification of cancer: class discovery and class prediction by gene expression monitoring,1999
5166,PABLO TAMAYO,PGC-1α-responsive genes involved in oxidative phosphorylation are coordinately downregulated in human diabetes,2003
4414,PABLO TAMAYO,"Integrated genomic analysis identifies clinically relevant subtypes of glioblastoma characterized by abnormalities in PDGFRA, IDH1, EGFR, and NF1",2010
3598,PABLO TAMAYO,Interpreting patterns of gene expression with self-organizing maps: methods and application to hematopoietic differentiation,1999
2577,PABLO TAMAYO,Diffuse large B-cell lymphoma outcome prediction by gene-expression profiling and supervised machine learning,2002
2482,PABLO TAMAYO,Gene expression correlates of clinical prostate cancer behavior,2002
2364,PABLO TAMAYO,Prediction of central nervous system embryonal tumour outcome based on gene expression,2002
2214,PABLO TAMAYO,Multiclass cancer diagnosis using tumor gene expression signatures,2001
1528,PABLO TAMAYO,GenePattern 2.0,2006
1326,PABLO TAMAYO,Metagenes and molecular pattern discovery using matrix factorization,2004
1324,PABLO TAMAYO,Consensus clustering: a resampling-based method for class discovery and visualization of gene expression microarray data,2003
1185,PABLO TAMAYO,Molecular signatures database (MSigDB) 3.0,2011
1063,PABLO TAMAYO,Systematic RNA interference reveals that oncogenic ,2009
962,PABLO TAMAYO,-driven cancers require TBK1,2003
894,PABLO TAMAYO,Gene expression-based classification of malignant gliomas correlates better with survival than histological classification,2000
863,PABLO TAMAYO,"Expression analysis with oligonucleotide microarrays reveals that MYC regulates genes involved in growth, cell cycle, signaling, and adhesion",2008
788,PABLO TAMAYO,Identification of ,2015
771,PABLO TAMAYO, as a 5q,2009
722,PABLO TAMAYO, syndrome gene by RNA interference screen,2001
657,PABLO TAMAYO,The molecular signatures database hallmark gene set collection,2000
613,PABLO TAMAYO, is an amplified lineage-survival oncogene in lung and esophageal squamous cell carcinomas,2007
561,PABLO TAMAYO,Chemosensitivity prediction by transcriptional profiling,2012
529,PABLO TAMAYO,Discovering functional relationships between RNA expression and chemotherapeutic susceptibility using relevance networks,2011
514,PABLO TAMAYO,: a desktop application for Gene Set Enrichment Analysis,2008
503,PABLO TAMAYO,Medulloblastoma exome sequencing uncovers subtype-specific somatic mutations,2009
377,PABLO TAMAYO,Integrative genomic analysis of medulloblastoma identifies a molecular subgroup that drives poor clinical outcome,2004
356,PABLO TAMAYO,CDK8 is a colorectal cancer oncogene that regulates β-catenin activity,2001
350,PABLO TAMAYO,Synthetic lethal interaction between oncogenic KRAS dependency and STK33 suppression in human cancer cells,2009
347,PABLO TAMAYO,Enterprise web mining system and method,2012
334,PABLO TAMAYO,Molecular classification of multiple tumor types,2011
292,PABLO TAMAYO,Automated high-dimensional flow cytometric data analysis,2000
250,PABLO TAMAYO,Prognostically relevant gene signatures of high-grade serous ovarian carcinoma,2014
246,PABLO TAMAYO,Systematic investigation of genetic vulnerabilities across cancer cell lines reveals lineage-specific dependencies in ovarian cancer,1999
244,PABLO TAMAYO,Class prediction and discovery using gene expression data,2003
243,PABLO TAMAYO,A melanoma cell state distinction influences sensitivity to MAPK pathway inhibitors,2007
233,PABLO TAMAYO,Support vector machine classification of microarray data,1999
213,PABLO TAMAYO,Estimating dataset size requirements for classifying DNA microarray data,2014
202,PABLO TAMAYO,Distinct physiological states of ,2007
192,PABLO TAMAYO, in malaria-infected patients,2005
190,PABLO TAMAYO,Molecular classification of cancer: class discovery and class prediction by gene expression monitoring,2005
181,PABLO TAMAYO,Parallel genome-scale loss of function screens in 216 cancer cell lines for the identification of context-specific genetic dependencies,2000
178,PABLO TAMAYO,High expression of lymphocyte-associated genes in node-negative HER2+ breast cancers correlates with lower recurrence rates,2008
175,PABLO TAMAYO,Microarray Data Mining: Dealing with Challenges,2010
173,PABLO TAMAYO,Inactivation of the Snf5 tumor suppressor stimulates cell cycle progression and cooperates with p53 loss in oncogenic transformation,1989
160,PABLO TAMAYO,Credit risk assessment using statistical and machine learning: basic methodology and risk modeling applications,2006
150,PABLO TAMAYO,An erythroid differentiation signature predicts response to lenalidomide in myelodysplastic syndrome,2012
145,PABLO TAMAYO,Loss of the tumor suppressor Snf5 leads to aberrant activation of the Hedgehog-Gli pathway,2010
140,PABLO TAMAYO,Embedded dynamics for φ 4 theory,2017
136,PABLO TAMAYO,Enterprise web mining system and method,2007
133,PABLO TAMAYO,Targeted tumor-penetrating siRNA nanocomplexes for credentialing the ovarian cancer oncogene ID4,2007
109,PABLO TAMAYO,MYC regulation of a “poor-prognosis” metastatic cancer cell state,2014
103,PABLO TAMAYO,Dependency of a therapy-resistant state of cancer cells on a lipid peroxidase pathway,2004
101,PABLO TAMAYO,Subclass mapping: identifying common subtypes in independent disease data sets,2015
97,PABLO TAMAYO,"Metagene projection for cross-platform, cross-species characterization of global transcriptional states",2013
88,PABLO TAMAYO,Inhibition of KRAS-driven tumorigenicity by interruption of an autocrine cytokine circuit,2004
82,PABLO TAMAYO,GeneCluster 2.0: an advanced toolset for bioarray analysis,2013
82,PABLO TAMAYO,A functional landscape of resistance to ALK inhibition in lung cancer,2003
80,PABLO TAMAYO,ATARiS: computational quantification of gene suppression phenotypes from multisample RNAi screens,2012
79,PABLO TAMAYO,Combining gene expression profiles and clinical parameters for risk stratification in medulloblastomas,2003
75,PABLO TAMAYO,SQSTM1 is a pathogenic target of 5q copy number gains in kidney cancer,1993
74,PABLO TAMAYO,An analytical method for multiclass molecular cancer classification,2014
74,PABLO TAMAYO,Twist1 suppresses senescence programs and thereby accelerates and maintains mutant Kras-induced lung tumorigenesis,1990
73,PABLO TAMAYO,Methods for classifying samples and ascertaining previously unknown classes,2016
69,PABLO TAMAYO,50 gflops molecular dynamics on the connection machine-5,2008
65,PABLO TAMAYO,Targeting an IKBKE cytokine network impairs triple-negative breast cancer growth,2016
63,PABLO TAMAYO,Single-cluster Monte Carlo dynamics for the Ising model,2013
63,PABLO TAMAYO,Compendium of immune signatures identifies conserved and species-specific biology in response to inflammation,2013
60,PABLO TAMAYO,Cytometric profiling in multiple sclerosis uncovers patient population structure and a reduction of CD8,1986
57,PABLO TAMAYO, cells,2011
56,PABLO TAMAYO,High-throughput phenotyping of lung cancer somatic mutations,1995
54,PABLO TAMAYO,Integrative radiogenomic profiling of squamous cell lung cancer,2015
51,PABLO TAMAYO,Integrated genomic analysis of the 8q24 amplification in endometrial cancers identifies ATAD2 as essential to MYC-dependent cancers,2016
51,PABLO TAMAYO,Annealed and quenched inhomogeneous cellular automata (INCA),2007
50,PABLO TAMAYO,Predicting relapse in patients with medulloblastoma by integrating evidence from clinical and genomic features,1989
48,PABLO TAMAYO,Parallel algorithms for short-range molecular dynamics,2007
47,PABLO TAMAYO,Metabolic rewiring by oncogenic BRAF V600E links ketogenesis pathway to BRAF-MEK1 signaling,2003
46,PABLO TAMAYO,The limitations of simple gene set enrichment analysis assuming gene independence,2013
46,PABLO TAMAYO,Portraits of breast cancer progression,2012
45,PABLO TAMAYO,Mean-field study of the Swendsen-Wang dynamics,2016
45,PABLO TAMAYO,Methods for classifying samples and ascertaining previously unknown classes,2014
44,PABLO TAMAYO,Molecular cancer diagnosis using tumor gene expression signature,2002
43,PABLO TAMAYO,Systematic interrogation of 3q26 identifies TLOC1 and SKIL as cancer drivers,2016
42,PABLO TAMAYO,An RNA profile identifies two subsets of multiple sclerosis patients differing in disease activity,2016
42,PABLO TAMAYO,High-throughput identification of genotype-specific cancer vulnerabilities in mixtures of barcoded tumor cell lines,1991
41,PABLO TAMAYO,Gene signatures related to B‐cell proliferation predict influenza vaccine‐induced antibody response,2012
40,PABLO TAMAYO,Gene expression-based classification and outcome prediction of central nervous system embryonal tumors,2012
40,PABLO TAMAYO,Systematic functional interrogation of rare cancer variants identifies oncogenic alleles,2007
39,PABLO TAMAYO,Characterizing genomic alterations in cancer by complementary functional associations,2016
39,PABLO TAMAYO,Parallel approaches to short range molecular dynamics simulations,2001
39,PABLO TAMAYO,Integrative functional genomics identifies RINT1 as a novel GBM oncogene,1989
38,PABLO TAMAYO,MicroSCALE screening reveals genetic modifiers of therapeutic response in melanoma,1987
35,PABLO TAMAYO,Enfermedades del aguacate,2005
34,PABLO TAMAYO,A genetic basis for the variation in the vulnerability of cancer to DNA damage,1989
33,PABLO TAMAYO,Cascades of transcriptional induction during human lymphocyte activation,1991
32,PABLO TAMAYO,Scaling ansatz for Swendsen-Wang dynamics,2010
32,PABLO TAMAYO,"Cellular Automata, Reaction-Diffusion Systems, and the Origin of Life.",2002
32,PABLO TAMAYO,"a, Paulovich, A., Pomeroy, SL, Golub",1990
31,PABLO TAMAYO,Critical dynamics and global conservation laws,2014
29,PABLO TAMAYO,A parallel multigrid algorithm for percolation clusters,2005
36703,Mark Hall,Data Mining: Practical machine learning tools and techniques,2016
18711,Mark Hall,The WEKA data mining software: an update,2009
3051,Mark Hall,Correlation-based feature selection for machine learning,1999
2167,Mark Hall,Data mining and knowledge discovery handbook,2005
1751,Mark Hall,Correlation-based feature selection of discrete and numeric class machine learning,2000
1220,Mark Hall,Benchmarking attribute selection techniques for discrete class data mining,2002
1149,Mark Hall,Logistic model trees,2005
1042,Mark Hall,Correlation-based feature subset selection for machine learning,1998
842,Mark Hall,Data mining in bioinformatics using Weka,2004
632,Mark Hall,Flow clustering using machine learning techniques,2004
588,Mark Hall,The WEKA workbench,2016
480,Mark Hall,Feature selection for machine learning: comparing a correlation-based filter approach to the wrapper.,1999
467,Mark Hall,Data Mining: Practical Machine Learning Tools and Techniques.,1997
435,Mark Hall,Practical feature subset selection for machine learning,1998
424,Mark Hall,A simple approach to ordinal classification,2001
368,Mark Hall,Gene selection from microarray data for cancer classification—a machine learning approach,2005
347,Mark Hall,WEKAâˆ’Experiences with a Java Open-Source Project,2010
347,Mark Hall,Chest pain: relationship of psychiatric illness to coronary arteriographic results,1988
339,Mark Hall,Locally weighted naive bayes,2002
338,Mark Hall,WEKA manual for version 3-9-1,2016
305,Mark Hall,Data mining: practical machine learning tools and techniques,2011
292,Mark Hall,Feature subset selection: a correlation based filter approach,1997
289,Mark Hall,Circumferential margin involvement after mesorectal excision of rectal cancer with curative intent,1998
270,Mark Hall,Generating rule sets from model trees,1999
239,Mark Hall,Synthesis of benzazoles by hydrogen-transfer catalysis,2009
226,Mark Hall,Deliberate ignorance in project risk management,2010
221,Mark Hall,Speeding up logistic model tree induction,2005
218,Mark Hall,Quality failure costs in civil engineering projects,2000
212,Mark Hall,Large-scale attribute selection using wrappers,2009
185,Mark Hall,Multiclass alternating decision trees,2002
159,Mark Hall,A decision tree-based attribute weighting filter for naive Bayes,2006
154,Mark Hall,Interactive machine learning: letting users build classifiers,2001
131,Mark Hall,"Hall, and Ian H. Witten (2016). The WEKA Workbench. Online Appendix for"" Data Mining: Practical Machine Learning Tools and Techniques",2016
131,Mark Hall,Forests and drugs: Coca-driven deforestation in tropical biodiversity hotspots,2011
130,Mark Hall,Combining naive bayes and decision tables.,2008
130,Mark Hall,Intervening conditions on the management of project risk: Dealing with uncertainty in information technology projects,2005
128,Mark Hall,ACM SIGKDD explorations newsletter,2009
111,Mark Hall,Weedon's Skin Pathology E-Book,2014
107,Mark Hall,Three‐year results of the Friendly Schools whole‐of‐school intervention on children’s bullying behaviour,2011
99,Mark Hall,Chest pain with negative cardiac diagnostic studies: Relationship to psychiatric illness.,1988
90,Mark Hall,Properties of the equilibrium state in transportation networks,1978
89,Mark Hall,HI: The WEKA Data Mining Software: An Update,2009
84,Mark Hall,Building or bodging? Attitudes to sustainability in UK public sector housing construction development,2006
82,Mark Hall,Hall. 2011,2011
82,Mark Hall,Improving psychological adjustment following a first episode of psychosis: a randomised controlled trial of cognitive therapy to reduce post psychotic trauma symptoms,2009
82,Mark Hall,Industrial relations and the social dimension of European integration: before and after Maastricht,1994
75,Mark Hall,"Handbook of experimental pharmacology. Vol. 94. 1, Chemical carcinogenesis and mutagenesis 1",1990
74,Mark Hall,Project sponsors under New Public Management: lessons from the frontline,2003
71,Mark Hall,Long-chain polyunsaturated fatty acid accretion in brain,2002
69,Mark Hall,A cost of quality analysis of a building project: towards a complete methodology for design and build,2001
64,Mark Hall,The rational choice of not applying project risk management in information technology projects,2009
59,Mark Hall,Feature abstraction in a knowledge-based critique of designs,1991
58,Mark Hall,The analysis of an inventory control model using posynomial geometric programming,1982
56,Mark Hall,Iron-catalysed Suzuki coupling? A cautionary tale,2009
56,Mark Hall,Simple mixed Fe–Zn catalysts for the Suzuki couplings of tetraarylborates with benzyl halides and 2-halopyridines,2009
52,Mark Hall,"Hall, and Christopher J Pal",2016
52,Mark Hall,Correlation-based feature selection for machine learning. 1999,1999
52,Mark Hall,Rotational approaches to atherectomy and thrombectomy.,1987
50,Mark Hall,Using classification to evaluate the output of confidence-based association rule mining,2004
49,Mark Hall,The risk of cardiomyopathy in inherited epidermolysis bullosa,2008
48,Mark Hall,The PRECEDE-PROCEED model: application to planning a child pedestrian injury prevention program.,1997
47,Mark Hall,National,2009
46,Mark Hall,Hereditary susceptibility to colorectal cancer,1996
44,Mark Hall,"Data Mining: Practical Machine Learning Tools and Techniques. Burlington, MA 01803",2011
44,Mark Hall,Alkenes from alcohols by tandem hydrogen transfer and condensation,2008
43,Mark Hall,Video object tracking method for interactive multimedia applications,1999
39,Mark Hall,Oxidation and genotoxicity of fecapentaene-12 are potentiated by prostaglandin H synthase,1995
37,Mark Hall,"Private finance, public roads: configuring the supply chain in PFI highway construction",2000
32,Mark Hall,Exploring reliability in information systems programmes,2011
31,Mark Hall,Community participation in road safety: Barriers and enablers,2001
30,Mark Hall,Riparian tree cover enhances the resistance and stability of woodland bird communities during an extreme climatic event,2016
30,Mark Hall,Traffic equilibria analysed via geometric programming,1976
28,Mark Hall,Resistance and resilience: can the abrupt end of extreme drought reverse avifaunal collapse?,2014
28,Mark Hall,Bridging the risk gap: The failure of risk management in information systems projects,2014
28,Mark Hall,"Health care law, forensic science, and public policy",1990
27,Mark Hall,The role of Supplier Relationship Management in reducing Greenhouse Gas emissions from food supply chains: supplier engagement in the UK supermarket sector,2016
27,Mark Hall,Does risk matter? Disengagement from risk management practices in information systems projects,2013
27,Mark Hall,Experimental transmission of chronic wasting disease (CWD) from elk and white-tailed deer to fallow deer by intracerebral route,2011
27,Mark Hall,Benchmarking attribute selection techniques for data mining,2000
27,Mark Hall,Knowledge driven manufacturability analysis from feature-based representations,1989
26,Mark Hall,Chemical analyses of Xiong-Nu pottery: A preliminary study of exchange and trade on the inner Asian steppes,2002
26,Mark Hall,"P., & Witten, IH (2009)",2002
25,Mark Hall,Racing committees for large datasets,2011
24,Mark Hall,Introduction to weka,1991
24,Mark Hall,Isolation and characterization of behavioural mutants and genes of Agrobacterium tumefaciens,2003
23,Mark Hall,Visualizing class probability estimators,1999
23,Mark Hall,Feature selection for discrete and numeric class machine learning,2017
22,Mark Hall,What do we need to say about a design method?,1976
22,Mark Hall,Hydraulic network analysis using (generalized) geometric programming,2015
20,Mark Hall,The contribution of the project management office: A balanced scorecard perspective,2002
20,Mark Hall,Selective uptake from LDL is stimulated by unsaturated fatty acids and modulated by cholesterol content in the plasma membrane: role of plasma membrane composition in …,1997
20,Mark Hall,"Should construction enterprises, working internationally, take account of cultural differences in culture?",2002
18,Mark Hall,UK public sector Project management—a cultural perspective,2002
17,Mark Hall,"Pottery production on Rishiri Island, Japan: perspectives from X‐ray fluorescence studies",2011
16,Mark Hall,Hall. Data Mining: Practical Machine Learning Tools and Techniques: Practical Machine Learning Tools and Techniques,2008
15,Mark Hall,New Public Management and cultural change: the case of UK public sector project sponsors as leaders,2001
15,Mark Hall,Root cause analysis: a tool for closer supply chain integration in construction,1999
14,Mark Hall,International construction management: the cultural dimension.,1996
14,Mark Hall,A computer model of blues music and its evaluation,2016
41672,Sobayer Abedin Amit,Data mining: concepts and techniques,2011
36467,Sobayer Abedin Amit,Artificial intelligence: a modern approach,2016
225,Sobayer Abedin Amit,Concepts and techniques,2001
28,Sobayer Abedin Amit,Mcgraw-hill science,1997
13,Sobayer Abedin Amit,Morgan Kaufmann Publishers Inc,2003
11,Sobayer Abedin Amit,A modern Approach by Stuart J,2003
9,Sobayer Abedin Amit,Decision Trees,2000
9,Sobayer Abedin Amit,Concepts and Techniques. 2006,1997
9,Sobayer Abedin Amit,Practical Machine Learning Tools and Techniques. 2005,2012
8,Sobayer Abedin Amit,McGraw-Hill Companies,1997
7,Sobayer Abedin Amit,A practical Guide,1913
7,Sobayer Abedin Amit,"Practical Machine Learning Tools and Techniques, by Ian H",2003
6,Sobayer Abedin Amit,AAAI,1996
6,Sobayer Abedin Amit,"Practical machine learning tools and techniques,-Witten",2012
6,Sobayer Abedin Amit,Menlo Park,2000
5,Sobayer Abedin Amit,Cybernetics,2005
5,Sobayer Abedin Amit,"IKnowledge Discovery and Data Mining"", Portland, OR",1994
4,Sobayer Abedin Amit,Concepts and Techniques: Concepts and Techniques-Jiawei Han,1993
13886,kamal Benslama,Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC,2012
12061,kamal Benslama,The ATLAS experiment at the CERN large hadron collider,2008
4128,kamal Benslama,Improved luminosity determination in pp collisions at ,2013
3943,kamal Benslama, using the ATLAS detector at the LHC,2011
3646,kamal Benslama,Luminosity determination in pp collisions at ,2013
3621,kamal Benslama, TeV using the ATLAS detector at the LHC,2012
3578,kamal Benslama,Improved luminosity determination in pp collisions at ,2013
2848,kamal Benslama, using the ATLAS detector at the LHC,2014
2568,kamal Benslama,Electron performance measurements with the ATLAS detector using the 2010 LHC proton-proton collision data,2011
2537,kamal Benslama,Improved luminosity determination in pp collisions at ,2011
2513,kamal Benslama, using the ATLAS detector at the LHC,2014
2498,kamal Benslama,Measurement of the Z/ γ* boson transverse momentum distribution in pp collisions at ,2014
2482,kamal Benslama, TeV with the ATLAS detector,2011
2457,kamal Benslama,Luminosity determination in pp collisions at ,2011
2451,kamal Benslama, TeV using the ATLAS detector at the LHC,2011
2447,kamal Benslama,Luminosity determination in pp collisions at ,2011
2435,kamal Benslama, TeV using the ATLAS detector at the LHC,2011
2360,kamal Benslama,Measurement of the muon reconstruction performance of the ATLAS detector using 2011 and 2012 LHC proton–proton collision data,2011
2243,kamal Benslama,Measurement of the Z/ γ* boson transverse momentum distribution in pp collisions at ,2014
2243,kamal Benslama, TeV with the ATLAS detector,2014
2220,kamal Benslama,Luminosity determination in pp collisions at ,2013
2212,kamal Benslama, TeV using the ATLAS detector at the LHC,2014
2205,kamal Benslama,Luminosity determination in pp collisions at ,2011
2160,kamal Benslama, TeV using the ATLAS detector at the LHC,2013
2160,kamal Benslama,Luminosity determination in pp collisions at ,2013
2148,kamal Benslama, TeV using the ATLAS detector at the LHC,2012
2129,kamal Benslama,Luminosity determination in pp collisions at ,2014
2108,kamal Benslama, TeV using the ATLAS detector at the LHC,2014
2108,kamal Benslama,Luminosity determination in pp collisions at ,2014
2098,kamal Benslama, TeV using the ATLAS detector at the LHC,2014
2048,kamal Benslama,Luminosity determination in pp collisions at ,2014
2044,kamal Benslama, TeV using the ATLAS detector at the LHC,2014
2044,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
2041,kamal Benslama, TeV proton-proton collision data,2014
2033,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
2029,kamal Benslama, TeV proton-proton collision data,2014
2020,kamal Benslama,Improved luminosity determination in pp collisions at ,2012
2020,kamal Benslama, using the ATLAS detector at the LHC,2012
2008,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
2003,kamal Benslama, TeV proton-proton collision data,2014
1981,kamal Benslama,Luminosity determination in pp collisions at ,2015
1981,kamal Benslama, TeV using the ATLAS detector at the LHC,2011
1974,kamal Benslama,Jet energy measurement with the ATLAS detector in proton-proton collisions at ,2014
1950,kamal Benslama,Jet energy measurement with the ATLAS detector in proton-proton collisions at ,2014
1948,kamal Benslama,Performance of the ATLAS Trigger System in 2010,2014
1928,kamal Benslama,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at ,2014
1925,kamal Benslama, TeV with the ATLAS detector,2014
1922,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1912,kamal Benslama, TeV proton-proton collision data,2014
1911,kamal Benslama,Search for direct production of charginos and neutralinos in events with three leptons and missing transverse momentum in\ sqrt {s}= 8 TeV pp collisions with the ATLAS detector,2014
1903,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1895,kamal Benslama, TeV proton-proton collision data,2014
1882,kamal Benslama,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at ,2014
1879,kamal Benslama, TeV with the ATLAS detector,2014
1876,kamal Benslama,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at ,2014
1865,kamal Benslama, TeV with the ATLAS detector,2014
1863,kamal Benslama,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,2012
1843,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2015
1841,kamal Benslama, TeV proton-proton collision data,2014
1839,kamal Benslama,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at ,2014
1836,kamal Benslama, TeV with the ATLAS detector,2015
1818,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1818,kamal Benslama, TeV proton-proton collision data,2014
1818,kamal Benslama,Performance of missing transverse momentum reconstruction in proton-proton collisions at ,2014
1815,kamal Benslama, with ATLAS,2014
1800,kamal Benslama,Performance of missing transverse momentum reconstruction in proton-proton collisions at ,2015
1788,kamal Benslama, with ATLAS,2014
1781,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1765,kamal Benslama, TeV proton-proton collision data,2014
1761,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1753,kamal Benslama, TeV proton-proton collision data,2014
1753,kamal Benslama,Search for the bb decay of the Standard Model Higgs boson in associated (W/Z) H production with the ATLAS detector,2014
1750,kamal Benslama,"Expected performance of the ATLAS experiment-detector, trigger and physics",2013
1747,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1743,kamal Benslama, TeV proton-proton collision data,2014
1736,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2015
1733,kamal Benslama, TeV proton-proton collision data,2014
1727,kamal Benslama,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at ,2015
1718,kamal Benslama, TeV with the ATLAS detector,2014
1715,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1697,kamal Benslama, TeV proton-proton collision data,2014
1689,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1681,kamal Benslama, TeV proton-proton collision data,2014
1679,kamal Benslama,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at ,2014
1668,kamal Benslama, TeV with the ATLAS detector,2014
1653,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1639,kamal Benslama, TeV proton-proton collision data,2014
1622,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1620,kamal Benslama, TeV proton-proton collision data,2014
1619,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1615,kamal Benslama, TeV proton-proton collision data,2014
1606,kamal Benslama,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at ,2014
1605,kamal Benslama, TeV with the ATLAS detector,2014
1603,kamal Benslama,Search for squarks and gluinos with the ATLAS detector in final states with jets and missing transverse momentum using ,2014
1583,kamal Benslama, TeV proton-proton collision data,2012
1582,kamal Benslama,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,2014
